Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
010622 B1868 Poc1-mCh dividing cells_3-sld - 1001,497.610115,201,1623.935034,340,629.366383,150,2750.911532,681,18,37.833,49.253,27.754,14.241,68.3152911372025,9919.865,0.027,1.387,1.492,1.509,2.056,3.296,2.571,50.498,3.397,0,0,0,0
010622 B1868 Poc1-mCh dividing cells_3-sld - 1002,464.766648,143,1590.273751,277,637.85016,113,2692.890559,524,19,27.579,47.747,28.84,14.074,69.5788227893698,9557.652,0.058,1.572,1.772,2.104,1.968,3.091,2.296,45.688,5.86,0,0,0,0
010622 B1868 Poc1-mCh dividing cells_3-sld - 1003,448.329203,144,1529.340242,293,618.441538,105,2596.110983,538,20,26.9,45.794,29.032,14.558,70.2643356198465,9349.008,0.077,1.5,1.723,2.269,1.853,2.92,2.431,44.13,5.807,0,0,0,0
010622 B1868 Poc1-mCh dividing cells_3-sld - 1004,384.102526,149,1343.130325,244,475.071882,87,2202.304733,471,19,24.789,46.397,25.12,11.089,60.3443152350053,6501.016,0.039,1.418,1.974,2.378,1.378,2.735,1.984,43.303,4.416,0,0,0,0
010622 B1868 Poc1-mCh dividing cells_3-sld - 1005,472.963889,165,1648.419856,296,579.898791,99,2701.282536,538,20,26.9,48.814,31.311,10.509,70.5068683942492,7281.575,0.134,1.413,1.789,2.143,1.748,2.934,2.378,42.745,10.272,0,0,0,0
010622 B1868 Poc1-mCh dividing cells_3-sld - 1006,496.365091,179,1592.482685,330,678.022703,150,2766.870479,650,20,32.5,46.86,29.278,14.779,70.8891807053928,10149.378,0.044,1.308,1.448,1.671,1.833,3.085,2.597,44.57,11.081,0,0,0,0
010622 B1868 Poc1-mCh dividing cells_3-sld - 1007,533.711364,203,1283.527704,341,569.635814,135,2386.874882,661,21,31.476,48.803,22.204,12.297,55.2085114319998,6869.164,0.015,1.19,1.435,1.762,1.936,1.902,2.265,42.375,16.309,0,0,0,0
010622 B1868 Poc1-mCh dividing cells_3-sld - 1008,398.121987,166,1331.932202,337,482.891628,113,2212.945817,595,19,31.316,49.458,23.017,11.936,56.0072285510256,6579.41,0.075,1.278,1.49,2.054,1.533,2.505,2.155,45.033,6.753,0,0,0,0
010622 B1868 Poc1-mCh dividing cells_3-sld - 1009,399.699617,140,1395.871111,252,517.596362,95,2313.16709,480,19,25.263,48.515,23.945,14.134,60.5053029424303,7724.552,0.102,1.505,1.94,2.368,1.483,2.768,2.249,44.033,6.4,0,0,0,0
010622 B1868 Poc1-mCh dividing cells_3-sld - 1010,526.002808,157,1542.172702,337,531.492999,103,2599.668509,575,19,30.263,49.742,25.465,14.755,64.1120323984552,8541.279,0.127,1.53,1.602,2.245,1.906,2.984,2.147,48.191,5.039,0,0,0,0
